if	60
for	44
le	36
push	26
setDepth	23
add	22
URL	20
image	17
max	16
activeLegacyPlacement	12
setAlpha	12
setPosition	12
addKey	11
hypot	11
has	10
bodyDepth	10
lineStyle	10
random	9
setDisplaySize	8
collides	8
startsWith	8
setMoving	8
test	7
call	7
get	7
localToLegacyWorld	7
text	6
ht	6
loadRoom	6
abs	6
set	6
legacyWorldToLocal	6
fillStyle	6
spritesheet	5
setBlendMode	5
setTint	5
Yt	5
nearestLegalPoint	5
of	5
map	5
lineBetween	5
o	5
h	5
tick	5
entries	4
setScrollFactor	4
on	4
toggleMap	4
onInteract	4
values	4
chunkCenter	4
ut	4
actorKey	4
clear	4
ii	4
setScale	4
finish	4
i	4
setOrigin	4
setFacing	4
navigationPath	4
animateActorPath	4
v	4
min	4
roomGraph	3
container	3
it	3
playerBoundsLocal	3
some	3
actorFitsNarrativeStage	3
Map	3
find	3
includes	3
destroy	3
is	3
wall	3
visible	3
Set	3
d	3
makeThingVisual	3
doorCenter	3
npcStepper	3
ts	3
graphics	3
fillRect	3
strokeRect	3
s	3
delayedCall	3
cs	2
qe	2
Zr	2
rectangle	2
setVisible	2
onPointer	2
addEventListener	2
playerBounds	2
moodOf	2
chunkRect	2
localPlayerChunk	2
resolveActorChunks	2
gapRect	2
computeBoundaries	2
sort	2
join	2
pushWallSolids	2
showRoomBanner	2
killTweensOf	2
setText	2
Jr	2
buildChunk	2
buildSceneEffects	2
drawHitboxDebug	2
exists	2
keys	2
filter	2
Qr	2
walkOut	2
color	2
walkIn	2
Ft	2
Ds	2
fillRoundedRect	2
strokeRoundedRect	2
effectEnabled	2
round	2
requestRoomTransition	2
performTransition	2
routeExternalRoom	2
remove	2
constructor	1
super	1
iv	1
transitioning	1
qc	1
_c	1
preload	1
assign	1
fc	1
create	1
Kf	1
particles	1
Hf	1
preventDefault	1
cc	1
requestAnimationFrame	1
dispatchEvent	1
CustomEvent	1
dc	1
setY	1
lo	1
Lo	1
we	1
jc	1
Xc	1
Wc	1
rectToLegacyWorld	1
setBounds	1
startFollow	1
fadeIn	1
Zn	1
uc	1
Jf	1
floor	1
nc	1
pc	1
lightSpec	1
qf	1
kf	1
return	1
t	1
u	1
removeAll	1
ec	1
toString	1
padStart	1
toLocaleUpperCase	1
split	1
pop	1
trim	1
setFontSize	1
setWordWrapWidth	1
fillCircle	1
strokeCircle	1
addAt	1
Ao	1
Between	1
reverse	1
l	1
ev	1
isArray	1
Ro	1
Z	1
requestStart	1
tv	1
fadeOut	1
travel	1
warn	1
update	1
Wf	1
emitParticleAt	1
Mo	1
sin	1
JustDown	1
